-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  -17.3556   Longitude 30.1809 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1140.31 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
 YEAR  MO  DY  HR   T2M  T2MDEW  T2MWET  QV2M   RH2M  PRECTOTCORR    PS  WS2M   WD2M  WS10M  WD10M
 2021   1   1   0 20.54   19.92   20.23 16.54  96.06         0.06 88.40  1.81  43.07   3.14  43.39
 2021   1   1   1 20.35   19.82   20.08 16.42  96.62         0.05 88.36  1.75  28.51   3.08  28.45
 2021   1   1   2 20.01   19.59   19.80 16.17  97.25         0.09 88.37  1.60  23.57   2.91  23.40
 2021   1   1   3 19.58   19.27   19.43 15.87  97.94         0.14 88.38  1.41  24.29   2.64  24.07
 2021   1   1   4 19.19   18.98   19.09 15.56  98.50         0.21 88.42  1.31  30.55   2.50  30.57
 2021   1   1   5 19.05   18.80   18.92 15.38  98.31         0.29 88.47  1.41  37.82   2.64  37.79
 2021   1   1   6 20.25   19.30   19.77 15.87  94.12         0.32 88.55  2.32  40.50   3.69  40.54
 2021   1   1   7 22.11   19.52   20.81 16.05  85.19         0.27 88.59  2.53  31.63   3.87  31.70
 2021   1   1   8 24.40   19.42   21.90 15.99  73.69         0.24 88.58  2.44  12.39   3.61  12.62
 2021   1   1   9 26.05   19.26   22.65 15.81  66.12         0.24 88.53  2.37 354.14   3.46 354.30
 2021   1   1  10 27.15   19.11   23.13 15.69  61.38         0.28 88.46  2.39 338.96   3.49 338.89
 2021   1   1  11 27.39   18.97   23.18 15.56  60.00         0.44 88.40  2.41 327.03   3.55 326.94
 2021   1   1  12 27.25   19.08   23.17 15.69  60.94         0.60 88.36  2.22 323.29   3.27 323.16
 2021   1   1  13 27.09   19.25   23.17 15.87  62.12         0.61 88.30  1.92 325.47   2.80 325.34
 2021   1   1  14 26.59   19.48   23.04 16.11  64.94         0.56 88.27  1.61 326.31   2.34 326.58
 2021   1   1  15 25.79   19.97   22.88 16.60  70.19         0.60 88.26  1.29 325.15   1.88 325.52
 2021   1   1  16 25.01   20.82   22.91 17.52  77.50         0.66 88.28  0.86 329.48   1.38 330.98
 2021   1   1  17 23.90   20.80   22.36 17.52  82.75         0.56 88.32  0.71 350.54   1.22 352.65
 2021   1   1  18 22.68   20.95   21.81 17.64  89.94         0.39 88.36  0.70  28.00   1.26  28.64
 2021   1   1  19 21.90   20.80   21.35 17.46  93.31         0.26 88.40  1.08  47.64   1.90  48.84
 2021   1   1  20 21.57   20.73   21.15 17.40  94.88         0.13 88.43  1.52  53.78   2.66  54.68
 2021   1   1  21 21.38   20.67   21.03 17.33  95.62         0.10 88.47  1.85  49.45   3.22  49.73
 2021   1   1  22 21.09   20.49   20.80 17.09  96.19         0.09 88.48  1.65  47.11   2.93  47.38
