YEAR MO DY HR T2M T2MDEW T2MWET QV2M RH2M PRECTOTCORR PS WS2M WD2M WS10M WD10M
2021 1 1 0 18.18 17.82 18 14.95 97.56 0.22 85.53 1.99 12.67 3.09 12.7
2021 1 1 1 17.86 17.6 17.73 14.77 98.31 0.16 85.5 1.6 14.1 2.59 13.78
2021 1 1 2 17.57 17.4 17.49 14.59 98.75 0.11 85.49 1.42 17.24 2.38 16.95
2021 1 1 3 17.37 17.24 17.3 14.4 99 0.12 85.48 1.44 20.3 2.43 20.12
2021 1 1 4 17.26 17.14 17.2 14.34 99.06 0.17 85.52 1.52 24.32 2.53 24.43
2021 1 1 5 17.47 17.23 17.34 14.4 98.31 0.24 85.57 1.78 27.69 2.84 27.91
2021 1 1 6 18.88 17.94 18.4 15.08 94.12 0.3 85.64 2.75 25.55 3.88 25.53
2021 1 1 7 20.66 18.12 19.39 15.2 85.19 0.27 85.68 3.04 15.18 4.11 15.23
2021 1 1 8 22.52 17.87 20.19 14.95 74.88 0.28 85.68 2.98 7.83 3.91 7.81
2021 1 1 9 24.01 17.72 20.87 14.83 67.75 0.25 85.65 2.91 3.69 3.76 3.58
2021 1 1 10 25.08 17.73 21.4 14.83 63.62 0.22 85.59 2.72 3.62 3.48 3.6
2021 1 1 11 25.88 17.76 21.83 14.89 60.81 0.3 85.54 2.45 9.55 3.11 9.56
2021 1 1 12 26.35 17.71 22.03 14.83 58.94 0.42 85.48 2.23 21.17 2.82 21.24
2021 1 1 13 26.39 17.67 22.03 14.83 58.69 0.5 85.41 2.22 36.43 2.85 36.52
2021 1 1 14 25.75 17.76 21.76 14.95 61.31 0.46 85.39 2.33 46.5 3.07 46.55
2021 1 1 15 25.12 18.04 21.58 15.2 64.69 0.39 85.39 2.5 51.23 3.38 51.28
2021 1 1 16 24.28 18.36 21.32 15.5 69.44 0.36 85.43 2.6 52.82 3.68 52.77
2021 1 1 17 22.94 19.07 21.01 16.17 78.69 0.32 85.49 2.17 52.18 3.26 52.2
2021 1 1 18 21.28 19.22 20.25 16.36 87.88 0.25 85.54 1.85 50.13 2.99 50.19
2021 1 1 19 20.55 18.98 19.76 16.11 90.5 0.22 85.59 2.46 46.54 3.81 46.66
2021 1 1 20 20.07 18.94 19.51 16.05 93.06 0.2 85.63 2.94 44.89 4.42 44.86
2021 1 1 21 19.76 18.93 19.34 16.05 94.88 0.24 85.66 3.08 47.26 4.58 47.28
2021 1 1 22 19.56 18.87 19.22 15.99 95.69 0.23 85.63 2.98 54.27 4.43 54.26
2021 1 1 23 19.3 18.74 19.01 15.87 96.44 0.22 85.56 2.47 55.05 3.71 55.04
2021 1 2 0 18.87 18.51 18.69 15.62 97.62 0.18 85.52 1.53 49.14 2.46 49.38
2021 1 2 1 18.73 18.4 18.56 15.5 97.88 0.21 85.52 1.08 56.2 1.88 55.85
2021 1 2 2 18.89 18.44 18.66 15.56 97.06 1.13 85.59 1.67 91.87 2.66 90.67
2021 1 2 3 18.81 18.1 18.46 15.2 95.5 4.71 85.68 3.45 102.3 5.15 102.18
2021 1 2 4 18.08 17.39 17.73 14.53 95.62 7.93 85.71 4.6 97.91 6.75 97.98
2021 1 2 5 17.58 16.98 17.28 14.16 96.06 4.81 85.76 4.97 96.59 7.28 96.59
